,id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
583769,bK05QF1Z,3289742,       (2005 QZ151),2005 QZ151,,,Y,Y,20.3,,,,33,2459000.5,59000,20200531.0,J2000,0.5803418917075801,1.937017918463426,0.8128852753908822,4.851785572748658,20.8332422878373,63.0757552144429,139.0316442600638,3.061150561535969,0.3655978361292793,2458620.2142583444,20190516.714258302,984.6885414078332,2.6959302981734004,0.00438353,1.7059383701,4.7568e-08,1.615e-08,8.7735e-08,1.3854000000000002e-05,7.608800000000001e-05,7.5908e-05,2.2726999999999998e-05,2.5522999999999996e-08,4.5724e-09,5.7464e-05,1.2315e-05,APO,0.64515
584352,bK05R34C,3290808,       (2005 RC34),2005 RC34,,,Y,Y,19.7,,,,56,2459000.5,59000,20200531.0,J2000,0.5132332478753686,2.061153170554603,1.00330083446225,10.76914560360934,290.9659992677483,36.11770632176295,354.75387245167366,3.1190055066469564,0.3330724210047175,2459016.250711309,20200615.7507113,1080.846018154416,2.95919512157267,0.0397912,15.485541304000002,2.3602e-08,8.6885e-09,4.9878e-08,1.0342e-05,8.3995e-06,1.7462e-05,8.5844e-06,1.3148e-08,2.106e-09,2.5861999999999997e-05,6.8342e-06,APO,0.38643
584618,bK05S00Q,3290881,       (2005 SQ),2005 SQ,,,Y,Y,20.1,,,,JPL 40,2459000.5,59000,20200531.0,J2000,0.5744764588138516,1.6550745489333316,0.7042731829891787,1.200425735871727,317.2546260984637,294.87242728500036,8.006560026351295,2.6058759148774846,0.4628899304715697,2458983.203101754,20200513.7031018,777.7226858947861,2.12928866774753,0.00548519,2.1346713923,1.4452e-07,1.1679e-08,2.4374000000000004e-07,8.530700000000001e-06,0.00019844,0.00019989,1.7637e-05,1.8388e-08,4.899600000000001e-09,3.8014e-05,8.232e-06,APO,0.53513
586094,bK05T00P,3292263,       (2005 TP),2005 TP,,,Y,Y,20.8,,,,20,2459000.5,59000,20200531.0,J2000,0.5887911618697624,2.277471652906792,0.9365164722663536,7.882256865005067,86.40394914614569,353.7388611816583,75.32850871603945,3.6184268335472316,0.2867639828860484,2458737.8153073196,20190911.3153073,1255.387780490737,3.4370644229725897,0.0398538,15.509903346,8.0846e-08,4.26e-08,1.8417000000000001e-07,1.2400999999999999e-05,0.00012063,0.00011982,4.55e-05,6.7683e-08,8.0459e-09,0.00015144,3.5223000000000005e-05,APO,0.47815
586161,bK05T15S,3292769,       (2005 TS15),2005 TS15,,,Y,Y,21.1,,,,21,2459000.5,59000,20200531.0,J2000,0.3530476234639373,1.260471389164896,0.8154649607759419,33.99557314901417,16.21874692929883,106.0804210073389,56.17468469546496,1.70547781755385,0.6964734820311889,2458919.844115541,20200311.3441155,516.889744244245,1.41516699313962,0.00368136,1.4326748712000001,2.0596e-07,2.8059e-08,2.4165e-07,9.1263e-05,1.0708e-05,3.3698e-05,5.841e-05,3.7965e-08,2.3256e-08,8.1191e-05,1.7259000000000002e-05,APO,0.52959
586353,bK05T49F,3293832,       (2005 TF49),2005 TF49,,,Y,Y,19.1,,,,61,2459000.5,59000,20200531.0,J2000,0.02545288002576944,1.04195582029377,1.01543504380768,24.548714820189037,25.732187080346552,302.3859496222304,341.1303100820017,1.06847659677986,0.9266806966471506,2459020.8626664355,20200620.3626664,388.4833268919123,1.0636093823187198,0.031736,12.35069912,1.2017e-08,3.6109999999999996e-09,1.2556e-08,1.5695e-05,3.7517e-06,3.3882e-05,3.3991e-05,3.7029e-09,4.8173e-09,3.6726e-05,2.0195e-06,APO,0.36172
586364,bK05T50R,3293925,       (2005 TR50),2005 TR50,,,Y,Y,20.2,,,,19,2459000.5,59000,20200531.0,J2000,0.4560031287675828,1.6143232341017142,0.8781867885091295,34.04628976198595,29.444986033846696,49.28554500120948,24.284898227316088,2.350459679694298,0.4805275895866235,2458949.9620106034,20200410.462010603,749.1765463658226,2.05113359716858,0.0080812,3.1449606039999995,6.122e-08,5.92e-08,8.672000000000001e-08,3.7068000000000005e-05,6.9978999999999995e-06,1.7632e-05,0.00014322,8.6195e-08,2.6432e-08,0.00029527,4.121e-05,APO,0.50272
586365,bK05T50U,3293926,       (2005 TU50),2005 TU50,,,Y,Y,21.4,,,,32,2459000.5,59000,20200531.0,J2000,0.5964656259023244,1.4261016417125971,0.5754810333881605,12.42078554480022,22.277486996124807,259.56899178318037,244.21486950515092,2.276722250037034,0.5787331427429471,2459200.566527979,20201217.066528,622.0483559896956,1.70307558108062,0.010142299999999998,3.9470788910000003,1.8631e-07,2.6016e-08,2.6957e-07,2.6479000000000002e-05,8.619e-06,2.8016e-05,9.2975e-05,4.1533e-08,1.5836e-08,0.00016613,1.7022e-05,APO,0.34865999999999997
587478,bK05U00R,3295790,       (2005 UR),2005 UR,,,Y,Y,21.6,,,,JPL 12,2453668.5,53668,20051025.0,J2000,0.8816557316311764,2.247809622944218,0.2660153852597348,6.933002094226966,20.028080873695103,140.47759961384608,346.61370307328986,4.229603860628702,0.2924588613073394,2453714.271555243,20051209.7715552,1230.942356783927,3.37013650043512,0.0334786,13.028866762,0.0020397,0.029375,0.0011086,0.044025999999999996,0.04213,0.014094999999999998,0.29131,0.055273,0.005732800000000001,0.098864,24.129,APO,0.24040999999999998
587524,bK05U06W,3297371,       (2005 UW6),2005 UW6,,,Y,Y,21.8,,,,15,2459000.5,59000,20200531.0,J2000,0.74066633316227,2.042479830896385,0.5296837839884662,0.9131480460932758,334.44718715793283,180.80086559571308,336.88692830234487,3.555275877804304,0.3376505091384682,2459068.9526487356,20200807.4526487,1066.1911955014011,2.91907240383683,0.0157264,6.120243088,0.00054953,0.0046694,8.8552e-05,0.006080100000000001,1.1293,1.1525,4.7274,0.0081279,0.0011579000000000001,14.235999999999999,3.6562,APO,0.51476
