,name,id,nametype,recclass,massg,fall,date,reclat,reclong,GeoLocation,mass,masslog,year,place,region,country
1017,Washougal,24218,Valid,Howardite,225.0,Fell,01/01/1939 12:00:00 AM,45.58333,-122.35,"(45.583330, -122.350000)",0.225,1.225,1939,Washougal,Washington,United States
1018,Werdama,47344,Valid,H5,4000.0,Fell,01/01/2006 12:00:00 AM,32.79732,21.787129999999998,"(32.797320, 21.787130)",4.0,5.0,2006,Al Bayda',Al Jabal al Akhdar,Libya
1019,Wessely,24244,Valid,H5,3750.0,Fell,01/01/1831 12:00:00 AM,48.95,17.383329999999997,"(48.950000, 17.383330)",3.75,4.75,1831,Veseli nad Moravou,South Moravian,Czech Republic
1020,Weston,24249,Valid,H4,150000.0,Fell,01/01/1807 12:00:00 AM,41.266667,-73.266667,"(41.266667, -73.266667)",150.0,151.0,1807,Trumbull,Connecticut,United States
1021,Wethersfield (1971),24250,Valid,L6,350.0,Fell,01/01/1971 12:00:00 AM,41.7,-72.65,"(41.700000, -72.650000)",0.35,1.35,1971,Wethersfield,Connecticut,United States
1022,Wethersfield (1982),24251,Valid,L6,2756.0,Fell,01/01/1982 12:00:00 AM,41.71056,-72.67361,"(41.710560, -72.673610)",2.756,3.756,1982,Wethersfield,Connecticut,United States
1023,Whetstone Mountains,49514,Valid,H5,2138.74,Fell,01/01/2009 12:00:00 AM,31.96185,-110.434183,"(31.961850, -110.434183)",2.13874,3.13874,2009,Mescal,Arizona,United States
1024,Wiluna,24281,Valid,H5,150000.0,Fell,01/01/1967 12:00:00 AM,-26.592779999999998,120.32833000000001,"(-26.592780, 120.328330)",150.0,151.0,1967,Newman,Western Australia,Australia
1025,Witklip Farm,24321,Valid,H5,22.0,Fell,01/01/1918 12:00:00 AM,-26.0,30.0,"(-26.000000, 30.000000)",0.022,1.022,1918,Carolina,Mpumalanga,South Africa
1026,Witsand Farm,24322,Valid,LL4,66.0,Fell,01/01/1932 12:00:00 AM,-28.66667,18.91667,"(-28.666670, 18.916670)",0.066,1.066,1932,Warmbad,Karas,Namibia
1027,Wittekrantz,24323,Valid,L5,2200.0,Fell,01/01/1880 12:00:00 AM,-32.5,23.0,"(-32.500000, 23.000000)",2.2,3.2,1880,Beaufort West,Western Cape,South Africa
1028,Wolamo,24324,Valid,OC,166.4,Fell,01/01/1964 12:00:00 AM,9.0,39.0,"(9.000000, 39.000000)",0.1664,1.1663999999999999,1964,Sendafa,Oromiya,Ethiopia
1029,Wold Cottage,24325,Valid,L6,25000.0,Fell,01/01/1795 12:00:00 AM,54.136669999999995,-0.41333000000000003,"(54.136670, -0.413330)",25.0,26.0,1795,Wold Newton,England,United Kingdom
1030,Woolgorong,24334,Valid,L6,36000.0,Fell,01/01/1960 12:00:00 AM,-27.75,115.83333,"(-27.750000, 115.833330)",36.0,37.0,1960,Melville,Western Australia,Australia
1031,Worden,24337,Valid,L5,1551.0,Fell,01/01/1997 12:00:00 AM,42.38467,-83.6115,"(42.384670, -83.611500)",1.551,2.551,1997,South Lyon,Michigan,United States
1032,Wuan,24340,Valid,H6,50000.0,Fell,01/01/1986 12:00:00 AM,36.75,114.25,"(36.750000, 114.250000)",50.0,51.0,1986,Hecun,Hebei,China
1033,Xi Ujimgin,24345,Valid,L/LL6-an,5900.0,Fell,01/01/1980 12:00:00 AM,44.66667,117.5,"(44.666670, 117.500000)",5.9,6.9,1980,Bala Ga'er Gaole,Inner Mongolia,China
1034,Xingyang,24346,Valid,H6,75500.0,Fell,01/01/1977 12:00:00 AM,32.33333,114.31667,"(32.333330, 114.316670)",75.5,76.5,1977,Minggang,Henan Sheng,China
1035,Yafa,24351,Valid,H5,5700.0,Fell,01/01/2000 12:00:00 AM,13.711110000000001,45.17,"(13.711110, 45.170000)",5.7,6.7,2000,Al Jurbah,Lahij,Yemen
1036,Yambo,30345,Valid,H5,4.0,Fell,01/01/1951 12:00:00 AM,1.0,22.5,"(1.000000, 22.500000)",0.004,1.004,1951,Basoko,Eastern Province,DR Congo
1037,Yangchiang,30348,Valid,H5,20000.0,Fell,01/01/1954 12:00:00 AM,21.83333,111.83333,"(21.833330, 111.833330)",20.0,21.0,1954,Baisha,Guangdong,China
1038,Yanzhuang,30350,Valid,H6,3500.0,Fell,01/01/1990 12:00:00 AM,24.566670000000002,114.16667,"(24.566670, 114.166670)",3.5,4.5,1990,Bazi,Guangdong,China
1039,Yardymly,30352,Valid,"Iron, IAB complex",150200.0,Fell,01/01/1959 12:00:00 AM,38.93333,48.25,"(38.933330, 48.250000)",150.2,151.2,1959,Yardimli,Yardimli,Azerbaijan
1040,Yatoor,30358,Valid,H5,13600.0,Fell,01/01/1852 12:00:00 AM,14.3,79.76666999999999,"(14.300000, 79.766670)",13.6,14.6,1852,Vadlapudi,Andhra Pradesh,India
1041,Yonozu,30366,Valid,H4/5,31650.0,Fell,01/01/1837 12:00:00 AM,37.75,139.0,"(37.750000, 139.000000)",31.65,32.65,1837,Shirone,Niigata,Japan
1042,Yorktown (New York),30370,Valid,L5,250.0,Fell,01/01/1869 12:00:00 AM,41.28333,-73.81667,"(41.283330, -73.816670)",0.25,1.25,1869,Jefferson Valley-Yorktown,New York,United States
1043,Yoshiki,30372,Valid,Stone-uncl,0.1,Fell,01/01/1928 12:00:00 AM,34.16667,131.45,"(34.166670, 131.450000)",0.0001,1.0001,1928,Yamaguchi-shi,Yamaguchi,Japan
1044,Yukan,30377,Valid,LL6,4800.0,Fell,01/01/1931 12:00:00 AM,28.71667,116.61667,"(28.716670, 116.616670)",4.8,5.8,1931,Hongjiazui,Jiangxi Sheng,China
1045,Yurtuk,30378,Valid,Howardite,1472.0,Fell,01/01/1936 12:00:00 AM,47.31667,35.36667,"(47.316670, 35.366670)",1.472,2.472,1936,Pryshyb,Zaporizhia,Ukraine
1046,Zaborzika,30379,Valid,L6,3867.0,Fell,01/01/1818 12:00:00 AM,50.28333,27.683329999999998,"(50.283330, 27.683330)",3.867,4.867,1818,Baranivka,Zhytomyr,Ukraine
1047,Zabrodje,30380,Valid,L6,3000.0,Fell,01/01/1893 12:00:00 AM,55.183330000000005,27.91667,"(55.183330, 27.916670)",3.0,4.0,1893,Hlybokaye,Vitebsk,Belarus
1048,Zag,30384,Valid,H3-6,175000.0,Fell,01/01/1998 12:00:00 AM,27.33333,-9.33333,"(27.333330, -9.333330)",175.0,176.0,1998,Tindouf,Tindouf,Algeria
1049,Zagami,30386,Valid,Martian (shergottite),18000.0,Fell,01/01/1962 12:00:00 AM,11.73333,7.08333,"(11.733330, 7.083330)",18.0,19.0,1962,Faskari,Katsina,Nigeria
1050,Zaisan,30388,Valid,H5,463.0,Fell,01/01/1963 12:00:00 AM,47.5,83.0,"(47.500000, 83.000000)",0.463,1.463,1963,Axili,Xinjiang Uygur Zizhiqu,China
1051,Zaisho,30389,Valid,"Pallasite, PMG-an",330.0,Fell,01/01/1898 12:00:00 AM,33.7,133.8,"(33.700000, 133.800000)",0.33,1.33,1898,Aki,Kochi,Japan
1052,Zaoyang,30391,Valid,H5,14250.0,Fell,01/01/1984 12:00:00 AM,32.3,112.75,"(32.300000, 112.750000)",14.25,15.25,1984,Taiping,Hubei,China
1053,Zavetnoe,30395,Valid,L6,800.0,Fell,01/01/1952 12:00:00 AM,47.13333,43.9,"(47.133330, 43.900000)",0.8,1.8,1952,Zavetnoye,Rostov,Russia
1054,Zavid,30396,Valid,L6,95000.0,Fell,01/01/1897 12:00:00 AM,44.4,19.116670000000003,"(44.400000, 19.116670)",95.0,96.0,1897,Zvornik,Republika Srpska,Bosnia and Herzegovina
1055,Zebrak,30397,Valid,H5,2000.0,Fell,01/01/1824 12:00:00 AM,49.88333,13.916670000000002,"(49.883330, 13.916670)",2.0,3.0,1824,Zebrak,Central Bohemia,Czech Republic
1056,Zemaitkiemis,30399,Valid,L6,44100.0,Fell,01/01/1933 12:00:00 AM,55.3,25.0,"(55.300000, 25.000000)",44.1,45.1,1933,Anyksciai,Utenos apskritis,Lithuania
1057,Zhaodong,30404,Valid,L4,42000.0,Fell,01/01/1984 12:00:00 AM,45.81667,125.91667,"(45.816670, 125.916670)",42.0,43.0,1984,Zhaodong,Heilongjiang Sheng,China
1058,Zhovtnevyi,30407,Valid,H6,107000.0,Fell,01/01/1938 12:00:00 AM,47.58333,37.25,"(47.583330, 37.250000)",107.0,108.0,1938,Blahodatne,Donetsk,Ukraine
1059,Zhuanghe,30408,Valid,H5,2900.0,Fell,01/01/1976 12:00:00 AM,39.66667,122.98333000000001,"(39.666670, 122.983330)",2.9,3.9,1976,Zhuanghe,Liaoning,China
1060,Zmenj,30411,Valid,Howardite,246.0,Fell,01/01/1858 12:00:00 AM,51.83333,26.83333,"(51.833330, 26.833330)",0.246,1.246,1858,Stolin,Brest,Belarus
1061,Zomba,30412,Valid,L6,7500.0,Fell,01/01/1899 12:00:00 AM,-15.183329999999998,35.28333,"(-15.183330, 35.283330)",7.5,8.5,1899,Machinga,Southern Region,Malawi
1062,Zsadany,30413,Valid,H5,552.0,Fell,01/01/1875 12:00:00 AM,46.93333,21.5,"(46.933330, 21.500000)",0.552,1.552,1875,Komadi,Hajdu-Bihar,Hungary
1063,Zvonkov,30415,Valid,H6,2568.0,Fell,01/01/1955 12:00:00 AM,50.2,30.25,"(50.200000, 30.250000)",2.568,3.568,1955,Vasylkiv,Kiev,Ukraine
1064,Abajo,4,Valid,H5,331.0,Found,01/01/1982 12:00:00 AM,26.8,-105.41667,"(26.800000, -105.416670)",0.331,1.331,1982,Valle de Ignacio Allende,Chihuahua,Mexico
1065,Abar al' Uj 001,51399,Valid,H3.8,194.34,Found,01/01/2008 12:00:00 AM,22.72192,48.95937,"(22.721920, 48.959370)",0.19434,1.19434,2008,Ad Dilam,Ar Riyad,Saudi Arabia
1066,Abbott,5,Valid,H3-6,21100.0,Found,01/01/1951 12:00:00 AM,36.3,-104.28333,"(36.300000, -104.283330)",21.1,22.1,1951,Springer,New Mexico,United States
1067,Abernathy,7,Valid,L6,2914.0,Found,01/01/1941 12:00:00 AM,33.85,-101.8,"(33.850000, -101.800000)",2.914,3.914,1941,Abernathy,Texas,United States
1068,Abo,8,Valid,H,1.2,Found,01/01/1840 12:00:00 AM,60.433330000000005,22.3,"(60.433330, 22.300000)",0.0012,1.0012,1840,Turku,Varsinais-Suomi,Finland
1069,Abu Moharek,9,Valid,H4,4500.0,Found,01/01/1997 12:00:00 AM,27.239440000000002,29.835829999999998,"(27.239440, 29.835830)",4.5,5.5,1997,Al Qusiyah,Asyut,Egypt
1070,Acfer 001,11,Valid,L6,6700.0,Found,01/01/1989 12:00:00 AM,27.5,3.6166699999999996,"(27.500000, 3.616670)",6.7,7.7,1989,I-n-Salah,Tamanghasset,Algeria
1130,Acfer 066,75,Valid,LL3.8-6,517.0,Found,01/01/1990 12:00:00 AM,27.633329999999997,4.066669999999999,"(27.633330, 4.066670)",0.517,1.517,1990,I-n-Salah,Tamanghasset,Algeria
1239,Acfer 194,202,Valid,H5,361.0,Found,01/01/1991 12:00:00 AM,27.499440000000003,3.6888900000000002,"(27.499440, 3.688890)",0.361,1.361,1991,I-n-Salah,Tamanghasset,Algeria
1328,Acfer 287,295,Valid,E4,59.0,Found,01/01/1992 12:00:00 AM,27.616670000000003,4.19056,"(27.616670, 4.190560)",0.059,1.059,1992,I-n-Salah,Tamanghasset,Algeria
1362,Acfer 321,329,Valid,H5,157.0,Found,01/01/2001 12:00:00 AM,27.5455,4.06117,"(27.545500, 4.061170)",0.157,1.157,2001,I-n-Salah,Tamanghasset,Algeria
