,name,id,nametype,recclass,massg,fall,date,reclat,reclong,GeoLocation,mass,masslog,year,place,region,country
0,Aachen,1,Valid,L5,21.0,Fell,01/01/1880 12:00:00 AM,50.775,6.08333,"(50.775000, 6.083330)",0.021,1.021,1880,Aachen,North Rhine-Westphalia,Germany
1,Aarhus,2,Valid,H6,720.0,Fell,01/01/1951 12:00:00 AM,56.183330000000005,10.23333,"(56.183330, 10.233330)",0.72,1.72,1951,Arhus,Central Jutland,Denmark
2,Abee,6,Valid,EH4,107000.0,Fell,01/01/1952 12:00:00 AM,54.21666999999999,-113.0,"(54.216670, -113.000000)",107.0,108.0,1952,Lamont,Alberta,Canada
3,Acapulco,10,Valid,Acapulcoite,1914.0,Fell,01/01/1976 12:00:00 AM,16.883329999999997,-99.9,"(16.883330, -99.900000)",1.914,2.9139999999999997,1976,Acapulco de Juarez,Guerrero,Mexico
4,Achiras,370,Valid,L6,780.0,Fell,01/01/1902 12:00:00 AM,-33.16667,-64.95,"(-33.166670, -64.950000)",0.78,1.78,1902,Achiras,Cordoba,Argentina
5,Adhi Kot,379,Valid,EH4,4239.0,Fell,01/01/1919 12:00:00 AM,32.1,71.8,"(32.100000, 71.800000)",4.239,5.239,1919,Harnoli,Punjab,Pakistan
6,Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,01/01/1949 12:00:00 AM,44.83333,95.16667,"(44.833330, 95.166670)",0.91,1.9100000000000001,1949,Bayan-Ovoo,Govi-Altay,Mongolia
7,Agen,392,Valid,H5,30000.0,Fell,01/01/1814 12:00:00 AM,44.21667,0.6166699999999999,"(44.216670, 0.616670)",30.0,31.0,1814,Le Passage,Aquitaine,France
8,Aguada,398,Valid,L6,1620.0,Fell,01/01/1930 12:00:00 AM,-31.6,-65.23333000000001,"(-31.600000, -65.233330)",1.62,2.62,1930,Villa Cura Brochero,Cordoba,Argentina
9,Aguila Blanca,417,Valid,L,1440.0,Fell,01/01/1920 12:00:00 AM,-30.866670000000003,-64.55,"(-30.866670, -64.550000)",1.44,2.44,1920,Capilla del Monte,Cordoba,Argentina
10,Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,Fell,01/01/1974 12:00:00 AM,16.39806,-9.57028,"(16.398060, -9.570280)",1.0,2.0,1974,'Ayoun el 'Atrous,Hodh el Gharbi,Mauritania
11,Aïr,424,Valid,L6,24000.0,Fell,01/01/1925 12:00:00 AM,19.08333,8.38333,"(19.083330, 8.383330)",24.0,25.0,1925,Arlit,Agadez,Niger
12,Akaba,426,Valid,L6,779.0,Fell,01/01/1949 12:00:00 AM,29.51667,35.05,"(29.516670, 35.050000)",0.779,1.779,1949,Aqaba,Aqaba,Jordan
13,Akbarpur,427,Valid,H4,1800.0,Fell,01/01/1838 12:00:00 AM,29.71667,77.95,"(29.716670, 77.950000)",1.8,2.8,1838,Laksar,Uttarakhand,India
14,Akwanga,432,Valid,H,3000.0,Fell,01/01/1959 12:00:00 AM,8.91667,8.43333,"(8.916670, 8.433330)",3.0,4.0,1959,Akwanga,Nassarawa,Nigeria
15,Akyumak,433,Valid,"Iron, IVA",50000.0,Fell,01/01/1981 12:00:00 AM,39.91667,42.81667,"(39.916670, 42.816670)",50.0,51.0,1981,Eleskirt,Agri,Turkey
16,Al Rais,446,Valid,CR2-an,160.0,Fell,01/01/1957 12:00:00 AM,24.41667,39.51667,"(24.416670, 39.516670)",0.16,1.16,1957,Sultanah,Al Madinah al Munawwarah,Saudi Arabia
17,Al Zarnkh,447,Valid,LL5,700.0,Fell,01/01/2001 12:00:00 AM,13.660329999999998,28.96,"(13.660330, 28.960000)",0.7,1.7,2001,An Nuhud,Shamal Kurdufan,Sudan
18,Alais,448,Valid,CI1,6000.0,Fell,01/01/1806 12:00:00 AM,44.11667,4.08333,"(44.116670, 4.083330)",6.0,7.0,1806,Ales,Languedoc-Roussillon,France
19,Albareto,453,Valid,L/LL4,2000.0,Fell,01/01/1766 12:00:00 AM,44.65,11.01667,"(44.650000, 11.016670)",2.0,3.0,1766,Gaggio,Emilia-Romagna,Italy
20,Alberta,454,Valid,L,625.0,Fell,01/01/1949 12:00:00 AM,2.0,22.66667,"(2.000000, 22.666670)",0.625,1.625,1949,Bumba,Equateur,DR Congo
21,Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,Fell,01/01/2002 12:00:00 AM,45.821329999999996,6.0153300000000005,"(45.821330, 6.015330)",0.252,1.252,2002,Alby-sur-Cheran,Rhone-Alpes,France
22,Aldsworth,461,Valid,LL5,700.0,Fell,01/01/1835 12:00:00 AM,51.78333,-1.7833299999999999,"(51.783330, -1.783330)",0.7,1.7,1835,Northleach,England,United Kingdom
23,Aleppo,462,Valid,L6,3200.0,Fell,01/01/1873 12:00:00 AM,36.23333,37.13333,"(36.233330, 37.133330)",3.2,4.2,1873,Aleppo,Aleppo,Syria
24,Alessandria,463,Valid,H5,908.0,Fell,01/01/1860 12:00:00 AM,44.88333,8.75,"(44.883330, 8.750000)",0.908,1.908,1860,San Giuliano Vecchio,Piedmont,Italy
25,Alexandrovsky,465,Valid,H4,9251.0,Fell,01/01/1900 12:00:00 AM,50.95,31.816670000000002,"(50.950000, 31.816670)",9.251,10.251,1900,Talalayivka,Chernihiv,Ukraine
26,Alfianello,466,Valid,L6,228000.0,Fell,01/01/1883 12:00:00 AM,45.26667,10.15,"(45.266670, 10.150000)",228.0,229.0,1883,Alfianello,Lombardy,Italy
27,Allegan,2276,Valid,H5,32000.0,Fell,01/01/1899 12:00:00 AM,42.53333,-85.88333,"(42.533330, -85.883330)",32.0,33.0,1899,Allegan,Michigan,United States
28,Allende,2278,Valid,CV3,2000000.0,Fell,01/01/1969 12:00:00 AM,26.96667,-105.31667,"(26.966670, -105.316670)",2000.0,2001.0,1969,Valle de Ignacio Allende,Chihuahua,Mexico
29,Almahata Sitta,48915,Valid,Ureilite-an,3950.0,Fell,01/01/2008 12:00:00 AM,20.74575,32.41275,"(20.745750, 32.412750)",3.95,4.95,2008,Abu Sunbul,Aswan,Egypt
30,Alta'ameem,2284,Valid,LL5,6000.0,Fell,01/01/1977 12:00:00 AM,35.27333,44.215559999999996,"(35.273330, 44.215560)",6.0,7.0,1977,Kirkuk,Muhafazat Kirkuk,Iraq
31,Ambapur Nagla,2290,Valid,H5,6400.0,Fell,01/01/1895 12:00:00 AM,27.66667,78.25,"(27.666670, 78.250000)",6.4,7.4,1895,Sikandra Rao,Uttar Pradesh,India
32,Andhara,2294,Valid,Stone-uncl,2700.0,Fell,01/01/1880 12:00:00 AM,26.58333,85.56667,"(26.583330, 85.566670)",2.7,3.7,1880,Dumra,Bihar,India
33,Andover,2295,Valid,L6,3200.0,Fell,01/01/1898 12:00:00 AM,44.61667,-70.75,"(44.616670, -70.750000)",3.2,4.2,1898,Rumford,Maine,United States
34,Andreevka,2296,Valid,L3,600.0,Fell,01/01/1969 12:00:00 AM,48.7,37.5,"(48.700000, 37.500000)",0.6,1.6,1969,Krasnotorka,Donetsk,Ukraine
35,Andura,2298,Valid,H6,17900.0,Fell,01/01/1939 12:00:00 AM,20.883329999999997,76.86667,"(20.883330, 76.866670)",17.9,18.9,1939,Telhara,Maharashtra,India
36,Angra dos Reis (stone),2302,Valid,Angrite,1500.0,Fell,01/01/1869 12:00:00 AM,-22.96667,-44.31667,"(-22.966670, -44.316670)",1.5,2.5,1869,Angra dos Reis,Rio de Janeiro,Brazil
37,Ankober,2304,Valid,H4,6500.0,Fell,01/01/1942 12:00:00 AM,9.53333,39.71667,"(9.533330, 39.716670)",6.5,7.5,1942,Debre Birhan,Amhara,Ethiopia
38,Anlong,2305,Valid,H5,2500.0,Fell,01/01/1971 12:00:00 AM,25.15,105.18333,"(25.150000, 105.183330)",2.5,3.5,1971,Xinzhou,Guangxi Zhuangzu Zizhiqu,China
39,Aomori,2313,Valid,L6,320.0,Fell,01/01/1984 12:00:00 AM,40.810559999999995,140.78556,"(40.810560, 140.785560)",0.32,1.32,1984,Aomori Shi,Aomori,Japan
40,Appley Bridge,2318,Valid,LL6,15000.0,Fell,01/01/1914 12:00:00 AM,53.583330000000004,-2.71667,"(53.583330, -2.716670)",15.0,16.0,1914,Appley Bridge,England,United Kingdom
41,Apt,2320,Valid,L6,3200.0,Fell,01/01/1803 12:00:00 AM,43.86667,5.38333,"(43.866670, 5.383330)",3.2,4.2,1803,Apt,Provence-Alpes-Cote d'Azur,France
42,Arbol Solo,2325,Valid,H5,810.0,Fell,01/01/1954 12:00:00 AM,-33.0,-66.0,"(-33.000000, -66.000000)",0.81,1.81,1954,La Punta,San Luis,Argentina
43,Archie,2329,Valid,H6,5070.0,Fell,01/01/1932 12:00:00 AM,38.5,-94.3,"(38.500000, -94.300000)",5.07,6.07,1932,Archie,Missouri,United States
44,Arroyo Aguiar,2340,Valid,H5,7450.0,Fell,01/01/1950 12:00:00 AM,-31.41667,-60.666669999999996,"(-31.416670, -60.666670)",7.45,8.45,1950,Recreo,Santa Fe,Argentina
45,Asco,2345,Valid,H6,41.0,Fell,01/01/1805 12:00:00 AM,42.45,9.03333,"(42.450000, 9.033330)",0.041,1.041,1805,Monticello,Corsica,France
46,Ash Creek,48954,Valid,L6,9500.0,Fell,01/01/2009 12:00:00 AM,31.805,-97.01,"(31.805000, -97.010000)",9.5,10.5,2009,West,Texas,United States
47,Ashdon,2346,Valid,L6,1300.0,Fell,01/01/1923 12:00:00 AM,52.05,0.3,"(52.050000, 0.300000)",1.3,2.3,1923,Linton,England,United Kingdom
48,Assisi,2353,Valid,H5,2000.0,Fell,01/01/1886 12:00:00 AM,43.03333,12.55,"(43.033330, 12.550000)",2.0,3.0,1886,Costano,Umbria,Italy
49,Atarra,4883,Valid,L4,1280.0,Fell,01/01/1920 12:00:00 AM,25.254170000000002,80.625,"(25.254170, 80.625000)",1.28,2.2800000000000002,1920,Atarra Buzurg,Uttar Pradesh,India
50,Atemajac,4884,Valid,L6,94.2,Fell,01/01/1896 12:00:00 AM,20.066670000000002,-103.66667,"(20.066670, -103.666670)",0.0942,1.0942,1896,Tepec,Jalisco,Mexico
51,Athens,4885,Valid,LL6,265.0,Fell,01/01/1933 12:00:00 AM,34.75,-87.0,"(34.750000, -87.000000)",0.265,1.2650000000000001,1933,Athens,Alabama,United States
52,Atoka,4888,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,34.31667,-96.15,"(34.316670, -96.150000)",1.3842,2.3842,1945,Atoka,Oklahoma,United States
53,Aubres,4893,Valid,Aubrite,800.0,Fell,01/01/1836 12:00:00 AM,44.38333,5.16667,"(44.383330, 5.166670)",0.8,1.8,1836,Nyons,Rhone-Alpes,France
54,Aumale,4899,Valid,L6,50000.0,Fell,01/01/1865 12:00:00 AM,36.16667,3.66667,"(36.166670, 3.666670)",50.0,51.0,1865,Sour el Ghozlane,Bouira,Algeria
55,Aumieres,4900,Valid,L6,2000.0,Fell,01/01/1842 12:00:00 AM,44.33333,3.23333,"(44.333330, 3.233330)",2.0,3.0,1842,La Canourgue,Languedoc-Roussillon,France
56,Ausson,4903,Valid,L5,50000.0,Fell,01/01/1858 12:00:00 AM,43.08333,0.58333,"(43.083330, 0.583330)",50.0,51.0,1858,Gourdan-Polignan,Midi-Pyrenees,France
57,Avanhandava,4905,Valid,H4,9330.0,Fell,01/01/1952 12:00:00 AM,-21.460279999999997,-49.950829999999996,"(-21.460280, -49.950830)",9.33,10.33,1952,Promissao,Sao Paulo,Brazil
58,Avce,4906,Valid,"Iron, IIAB",1230.0,Fell,01/01/1908 12:00:00 AM,46.0,13.5,"(46.000000, 13.500000)",1.23,2.23,1908,Dobrovo,Brda,Slovenia
59,Avilez,4907,Valid,H,146.0,Fell,01/01/1855 12:00:00 AM,25.0,-103.5,"(25.000000, -103.500000)",0.146,1.146,1855,Cuencame,Durango,Mexico
60,Awere,4910,Valid,L4,134.0,Fell,01/01/1968 12:00:00 AM,2.71667,32.83333,"(2.716670, 32.833330)",0.134,1.134,1968,Pader Palwo,Northern Region,Uganda
61,Aztec,4913,Valid,L6,2830.0,Fell,01/01/1938 12:00:00 AM,36.8,-108.0,"(36.800000, -108.000000)",2.83,3.83,1938,Aztec,New Mexico,United States
62,Bachmut,4917,Valid,L6,18000.0,Fell,01/01/1814 12:00:00 AM,48.6,38.0,"(48.600000, 38.000000)",18.0,19.0,1814,Artemivs'k,Donetsk,Ukraine
63,Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,01/01/1934 12:00:00 AM,28.48333,78.5,"(28.483330, 78.500000)",10.322,11.322,1934,Sambhal,Uttar Pradesh,India
64,Bald Mountain,4925,Valid,L4,3700.0,Fell,01/01/1929 12:00:00 AM,35.96667,-82.48333000000001,"(35.966670, -82.483330)",3.7,4.7,1929,Mars Hill,North Carolina,United States
65,Baldwyn,4926,Valid,L6,345.0,Fell,01/01/1922 12:00:00 AM,34.5,-88.66667,"(34.500000, -88.666670)",0.345,1.345,1922,Baldwyn,Mississippi,United States
66,Bali,4928,Valid,CV3,1000.0,Fell,01/01/1907 12:00:00 AM,5.38333,16.383329999999997,"(5.383330, 16.383330)",1.0,2.0,1907,Baoro,Nana-Mambere,Central African Republic
67,Ban Rong Du,4934,Valid,"Iron, ungrouped",16700.0,Fell,01/01/1993 12:00:00 AM,16.66667,101.18333,"(16.666670, 101.183330)",16.7,17.7,1993,Lom Sak,Phetchabun,Thailand
68,Bandong,4935,Valid,LL6,11500.0,Fell,01/01/1871 12:00:00 AM,-6.91667,107.6,"(-6.916670, 107.600000)",11.5,12.5,1871,Bandung,West Java,Indonesia
69,Bansur,4936,Valid,L6,15000.0,Fell,01/01/1892 12:00:00 AM,27.7,76.33333,"(27.700000, 76.333330)",15.0,16.0,1892,Kotputli,Rajasthan,India
70,Banswal,4937,Valid,L5,14.0,Fell,01/01/1913 12:00:00 AM,30.4,78.2,"(30.400000, 78.200000)",0.014,1.014,1913,Raipur,Uttarakhand,India
71,Banten,4938,Valid,CM2,629.0,Fell,01/01/1933 12:00:00 AM,-6.33333,106.0,"(-6.333330, 106.000000)",0.629,1.629,1933,Calincing,Banten,Indonesia
72,Barbotan,4942,Valid,H5,6400.0,Fell,01/01/1790 12:00:00 AM,43.95,-0.05,"(43.950000, -0.050000)",6.4,7.4,1790,Cazaubon,Midi-Pyrenees,France
73,Barea,4946,Valid,Mesosiderite-A1,3200.0,Fell,01/01/1842 12:00:00 AM,42.38333,-2.5,"(42.383330, -2.500000)",3.2,4.2,1842,Entrena,La Rioja,Spain
74,Barnaul,4947,Valid,H5,23.2,Fell,01/01/1904 12:00:00 AM,52.73333,84.08333,"(52.733330, 84.083330)",0.0232,1.0232,1904,Bystryy Istok,Altai Krai,Russia
75,Barntrup,4948,Valid,LL4,17.0,Fell,01/01/1886 12:00:00 AM,52.0,9.1,"(52.000000, 9.100000)",0.017,1.017,1886,Barntrup,North Rhine-Westphalia,Germany
76,Baroti,4949,Valid,L6,4500.0,Fell,01/01/1910 12:00:00 AM,31.616670000000003,76.8,"(31.616670, 76.800000)",4.5,5.5,1910,Sarka Ghat,Himachal Pradesh,India
77,Barwell,4954,Valid,L5,44000.0,Fell,01/01/1965 12:00:00 AM,52.56528,-1.33972,"(52.565280, -1.339720)",44.0,45.0,1965,Earl Shilton,England,United Kingdom
78,Bassikounou,44876,Valid,H5,29560.0,Fell,01/01/2006 12:00:00 AM,15.78333,-5.9,"(15.783330, -5.900000)",29.56,30.56,2006,Sokolo,Segou,Mali
79,Baszkówka,4957,Valid,L5,15500.0,Fell,01/01/1994 12:00:00 AM,52.03333,20.93583,"(52.033330, 20.935830)",15.5,16.5,1994,Lesznowola,Masovian Voivodeship,Poland
80,Bath,4974,Valid,H4,21000.0,Fell,01/01/1892 12:00:00 AM,45.41667,-98.31667,"(45.416670, -98.316670)",21.0,22.0,1892,Aberdeen,South Dakota,United States
81,Bath Furnace,4975,Valid,L6,86000.0,Fell,01/01/1902 12:00:00 AM,38.25,-83.75,"(38.250000, -83.750000)",86.0,87.0,1902,Owingsville,Kentucky,United States
82,Battle Mountain,56133,Valid,L6,2900.0,Fell,01/01/2012 12:00:00 AM,40.66813,-117.18913,"(40.668130, -117.189130)",2.9,3.9,2012,Battle Mountain,Nevada,United States
83,Bawku,4976,Valid,LL5,1557.0,Fell,01/01/1989 12:00:00 AM,11.08333,-0.18333,"(11.083330, -0.183330)",1.557,2.557,1989,Bawku,Upper East,Ghana
84,Baxter,4977,Valid,L6,611.0,Fell,01/01/1916 12:00:00 AM,36.75,-93.5,"(36.750000, -93.500000)",0.611,1.611,1916,Galena,Missouri,United States
85,Beardsley,4984,Valid,H5,16000.0,Fell,01/01/1929 12:00:00 AM,39.8,-101.2,"(39.800000, -101.200000)",16.0,17.0,1929,Atwood,Kansas,United States
86,Beaver Creek,4986,Valid,H5,14000.0,Fell,01/01/1893 12:00:00 AM,51.16667,-117.33333,"(51.166670, -117.333330)",14.0,15.0,1893,Golden,British Columbia,Canada
87,Beddgelert,4993,Valid,H5,794.0,Fell,01/01/1949 12:00:00 AM,53.01667,-4.1,"(53.016670, -4.100000)",0.794,1.794,1949,Penrhyndeudraeth,Wales,United Kingdom
88,Bells,5005,Valid,C2-ung,375.0,Fell,01/01/1961 12:00:00 AM,33.6,-96.46667,"(33.600000, -96.466670)",0.375,1.375,1961,Bells,Texas,United States
89,Benares (a),5011,Valid,LL4,3700.0,Fell,01/01/1798 12:00:00 AM,25.366670000000003,82.91667,"(25.366670, 82.916670)",3.7,4.7,1798,Varanasi,Uttar Pradesh,India
90,Benguerir,30443,Valid,LL6,25000.0,Fell,01/01/2004 12:00:00 AM,32.25,-8.15,"(32.250000, -8.150000)",25.0,26.0,2004,Youssoufia,Doukkala-Abda,Morocco
91,Beni M'hira,5018,Valid,L6,19000.0,Fell,01/01/2001 12:00:00 AM,32.86667,10.8,"(32.866670, 10.800000)",19.0,20.0,2001,Tataouine,Tataouine,Tunisia
92,Benld,5021,Valid,H6,1770.5,Fell,01/01/1938 12:00:00 AM,39.08333,-89.15,"(39.083330, -89.150000)",1.7705,2.7705,1938,Ramsey,Illinois,United States
93,Benoni,5023,Valid,H6,3880.0,Fell,01/01/1943 12:00:00 AM,-26.16667,28.41667,"(-26.166670, 28.416670)",3.88,4.88,1943,Brakpan,Gauteng,South Africa
94,Bensour,5024,Valid,LL6,45000.0,Fell,01/01/2002 12:00:00 AM,30.0,-7.0,"(30.000000, -7.000000)",45.0,46.0,2002,Taznakht,Souss-Massa-Draa,Morocco
95,Benton,5026,Valid,LL6,2840.0,Fell,01/01/1949 12:00:00 AM,45.95,-67.55,"(45.950000, -67.550000)",2.84,3.84,1949,Nackawic,New Brunswick,Canada
96,Berduc,48975,Valid,L6,270.0,Fell,01/01/2008 12:00:00 AM,-31.91,-58.32833,"(-31.910000, -58.328330)",0.27,1.27,2008,Ubajay,Entre Rios,Argentina
97,Béréba,5028,Valid,Eucrite-mmict,18000.0,Fell,01/01/1924 12:00:00 AM,11.65,-3.65,"(11.650000, -3.650000)",18.0,19.0,1924,Hounde,High-Basins,Burkina Faso
98,Berlanguillas,5029,Valid,L6,1440.0,Fell,01/01/1811 12:00:00 AM,41.68333,-3.8,"(41.683330, -3.800000)",1.44,2.44,1811,Castrillo de la Vega,Castille and Leon,Spain
99,Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,01/01/2004 12:00:00 AM,40.30583,-105.02325,"(40.305830, -105.023250)",0.96,1.96,2004,Berthoud,Colorado,United States
100,Bethlehem,5032,Valid,H,13.9,Fell,01/01/1859 12:00:00 AM,42.53333,-73.83333,"(42.533330, -73.833330)",0.013900000000000001,1.0139,1859,Ravena,New York,United States
101,Beuste,5034,Valid,L5,2000.0,Fell,01/01/1859 12:00:00 AM,43.21667,-0.23333,"(43.216670, -0.233330)",2.0,3.0,1859,Benejacq,Aquitaine,France
102,Beyrout,5035,Valid,LL3.8,1100.0,Fell,01/01/1921 12:00:00 AM,33.88333,35.5,"(33.883330, 35.500000)",1.1,2.1,1921,Beirut,Beyrouth,Lebanon
103,Bhagur,5037,Valid,L6,18.0,Fell,01/01/1877 12:00:00 AM,20.883329999999997,74.83333,"(20.883330, 74.833330)",0.018,1.018,1877,Dhule,Maharashtra,India
104,Bhawad,36591,Valid,LL6,678.0,Fell,01/01/2002 12:00:00 AM,26.508329999999997,73.11528,"(26.508330, 73.115280)",0.678,1.678,2002,Jodhpur,Rajasthan,India
105,Bherai,5039,Valid,L6,100.0,Fell,01/01/1893 12:00:00 AM,20.83333,71.46667,"(20.833330, 71.466670)",0.1,1.1,1893,Rajula,Gujarat,India
106,Bhola,5040,Valid,LL3-6,1047.0,Fell,01/01/1940 12:00:00 AM,22.683329999999998,90.65,"(22.683330, 90.650000)",1.047,2.0469999999999997,1940,Bhola,Barisal,Bangladesh
107,Bholghati,5041,Valid,Howardite,2500.0,Fell,01/01/1905 12:00:00 AM,22.08333,86.9,"(22.083330, 86.900000)",2.5,3.5,1905,Jhargram,West Bengal,India
108,Bialystok,5042,Valid,Eucrite-pmict,4000.0,Fell,01/01/1827 12:00:00 AM,53.1,23.2,"(53.100000, 23.200000)",4.0,5.0,1827,Bialystok,Podlasie,Poland
109,Bielokrynitschie,5043,Valid,H4,1900.0,Fell,01/01/1887 12:00:00 AM,50.13333,27.16667,"(50.133330, 27.166670)",1.9,2.9,1887,Shepetivka,Khmelnytskyi,Ukraine
110,Bilanga,5045,Valid,Diogenite,25000.0,Fell,01/01/1999 12:00:00 AM,12.45,-0.08333,"(12.450000, -0.083330)",25.0,26.0,1999,Koupela,Centre-Est,Burkina Faso
111,Binningup,5051,Valid,H5,488.1,Fell,01/01/1984 12:00:00 AM,-33.15639,115.67638999999998,"(-33.156390, 115.676390)",0.48810000000000003,1.4881,1984,Australind,Western Australia,Australia
112,Birni N'konni,5056,Valid,H4,560.0,Fell,01/01/1923 12:00:00 AM,13.766670000000001,5.3,"(13.766670, 5.300000)",0.56,1.56,1923,Illela,Sokoto,Nigeria
113,Bishopville,5059,Valid,Aubrite,6000.0,Fell,01/01/1843 12:00:00 AM,34.16667,-80.28333,"(34.166670, -80.283330)",6.0,7.0,1843,Bishopville,South Carolina,United States
114,Bishunpur,5060,Valid,LL3.15,1039.0,Fell,01/01/1895 12:00:00 AM,25.383329999999997,82.6,"(25.383330, 82.600000)",1.039,2.0389999999999997,1895,Bhadohi,Uttar Pradesh,India
115,Bjelaja Zerkov,5063,Valid,H6,1850.0,Fell,01/01/1796 12:00:00 AM,49.78333,30.16667,"(49.783330, 30.166670)",1.85,2.85,1796,Bila Tserkva,Kiev,Ukraine
116,Bjurböle,5064,Valid,L/LL4,330000.0,Fell,01/01/1899 12:00:00 AM,60.4,25.8,"(60.400000, 25.800000)",330.0,331.0,1899,Porvoo,Uusimaa,Finland
117,Black Moshannan Park,5065,Valid,L5,705.0,Fell,01/01/1941 12:00:00 AM,40.91667,-78.08333,"(40.916670, -78.083330)",0.705,1.705,1941,Troy,Pennsylvania,United States
118,Blackwell,5068,Valid,L5,2381.0,Fell,01/01/1906 12:00:00 AM,36.83333,-97.33333,"(36.833330, -97.333330)",2.381,3.381,1906,Blackwell,Oklahoma,United States
119,Blanket,5071,Valid,L6,5100.0,Fell,01/01/1909 12:00:00 AM,31.83333,-98.83333,"(31.833330, -98.833330)",5.1,6.1,1909,Early,Texas,United States
120,Blansko,5072,Valid,H6,470.0,Fell,01/01/1833 12:00:00 AM,49.36667,16.633329999999997,"(49.366670, 16.633330)",0.47,1.47,1833,Blansko,South Moravian,Czech Republic
121,Bloomington,5076,Valid,LL6,67.8,Fell,01/01/1938 12:00:00 AM,40.48,-89.00417,"(40.480000, -89.004170)",0.0678,1.0678,1938,Bloomington,Illinois,United States
122,Bo Xian,5090,Valid,LL3.9,7500.0,Fell,01/01/1977 12:00:00 AM,33.83333,115.83333,"(33.833330, 115.833330)",7.5,8.5,1977,Bozhou,Anhui Sheng,China
123,Bocas,5093,Valid,L6,56.0,Fell,01/01/1804 12:00:00 AM,23.0,-102.0,"(23.000000, -102.000000)",0.056,1.056,1804,Los Zacatones,San Luis Potosi,Mexico
124,Bogou,5097,Valid,"Iron, IAB-MG",8800.0,Fell,01/01/1962 12:00:00 AM,12.5,0.7,"(12.500000, 0.700000)",8.8,9.8,1962,Gayeri,Est,Burkina Faso
125,Boguslavka,5098,Valid,"Iron, IIAB",256000.0,Fell,01/01/1916 12:00:00 AM,44.55,131.63333,"(44.550000, 131.633330)",256.0,257.0,1916,Zharikovo,Primorskiy,Russia
126,Borgo San Donino,5110,Valid,LL6,1676.0,Fell,01/01/1808 12:00:00 AM,44.86667,10.05,"(44.866670, 10.050000)",1.676,2.676,1808,Fidenza,Emilia-Romagna,Italy
127,Bori,5111,Valid,L6,8600.0,Fell,01/01/1894 12:00:00 AM,21.95,78.03333,"(21.950000, 78.033330)",8.6,9.6,1894,Amla,Madhya Pradesh,India
128,Boriskino,5112,Valid,CM2,1342.0,Fell,01/01/1930 12:00:00 AM,54.23333,52.48333,"(54.233330, 52.483330)",1.342,2.342,1930,Severnoye,Orenburg,Russia
129,Borkut,5113,Valid,L5,7000.0,Fell,01/01/1852 12:00:00 AM,48.15,24.28333,"(48.150000, 24.283330)",7.0,8.0,1852,Kvasy,Zakarpattia,Ukraine
130,Borodino,5114,Valid,H5,500.0,Fell,01/01/1812 12:00:00 AM,55.46666999999999,35.86667,"(55.466670, 35.866670)",0.5,1.5,1812,Mozhaysk,Moskovskaya,Russia
131,Botschetschki,5117,Valid,L4,614.0,Fell,01/01/1823 12:00:00 AM,51.33333,33.88333,"(51.333330, 33.883330)",0.614,1.6139999999999999,1823,Putyvl',Sumy,Ukraine
132,Boumdeid (2003),57168,Valid,L6,190.0,Fell,01/01/2003 12:00:00 AM,17.71067,-11.3715,"(17.710670, -11.371500)",0.19,1.19,2003,Tidjikja,Tagant,Mauritania
133,Boumdeid (2011),57167,Valid,L6,3599.0,Fell,01/01/2011 12:00:00 AM,17.17493,-11.341330000000001,"(17.174930, -11.341330)",3.599,4.599,2011,Kiffa,Assaba,Mauritania
134,Bovedy,5121,Valid,L3,5460.0,Fell,01/01/1969 12:00:00 AM,54.566669999999995,-6.33333,"(54.566670, -6.333330)",5.46,6.46,1969,Glenavy,Northern Ireland,United Kingdom
135,Bradford Woods,5128,Valid,L,762.0,Fell,01/01/1886 12:00:00 AM,40.5,-80.08333,"(40.500000, -80.083330)",0.762,1.762,1886,Ben Avon,Pennsylvania,United States
136,Braunau,5133,Valid,"Iron, IIAB",39000.0,Fell,01/01/1847 12:00:00 AM,50.6,16.3,"(50.600000, 16.300000)",39.0,40.0,1847,Broumov,Kralovehradecky,Czech Republic
137,Breitscheid,5134,Valid,H5,1500.0,Fell,01/01/1956 12:00:00 AM,50.666940000000004,8.18361,"(50.666940, 8.183610)",1.5,2.5,1956,Breitscheid,Hesse,Germany
138,Bremervörde,5135,Valid,H/L3.9,7250.0,Fell,01/01/1855 12:00:00 AM,53.4,9.1,"(53.400000, 9.100000)",7.25,8.25,1855,Sandbostel,Lower Saxony,Germany
139,Brient,5140,Valid,Eucrite-pmict,219.0,Fell,01/01/1933 12:00:00 AM,52.13333,59.316669999999995,"(52.133330, 59.316670)",0.219,1.219,1933,Kvarkeno,Orenburg,Russia
140,Bruderheim,5156,Valid,L6,303000.0,Fell,01/01/1960 12:00:00 AM,53.9,-112.88333,"(53.900000, -112.883330)",303.0,304.0,1960,Lamont,Alberta,Canada
141,Bukhara,30448,Valid,CV3,5300.0,Fell,01/01/2001 12:00:00 AM,39.77978,64.60035,"(39.779780, 64.600350)",5.3,6.3,2001,Kogon,Bukhara,Uzbekistan
